tf,target,weight,absolute_weight
Gene_67,Gene_146,0.1464122,0.1464122
Gene_61,Gene_269,0.14586031,0.14586031
Gene_83,Gene_235,0.1405946,0.1405946
Gene_88,Gene_228,0.13980912,0.13980912
Gene_77,Gene_142,0.13399696,0.13399696
Gene_61,Gene_213,0.13213627,0.13213627
Gene_89,Gene_153,0.12812757,0.12812757
Gene_88,Gene_172,0.11960664,0.11960664
Gene_89,Gene_170,0.11881869,0.11881869
Gene_92,Gene_157,0.1127654,0.1127654
Gene_70,Gene_115,0.108921565,0.108921565
Gene_95,Gene_105,0.108710825,0.108710825
Gene_87,Gene_135,0.10835998,0.10835998
Gene_66,Gene_122,0.10774632,0.10774632
Gene_72,Gene_227,0.10765796,0.10765796
Gene_61,Gene_298,0.10682568,0.10682568
Gene_83,Gene_298,0.10570546,0.10570546
Gene_83,Gene_245,0.10518578,0.10518578
Gene_77,Gene_109,0.10514405,0.10514405
Gene_68,Gene_269,0.10190131,0.10190131
Gene_98,Gene_170,0.101085804,0.101085804
Gene_83,Gene_186,0.09943058,0.09943058
Gene_83,Gene_248,0.095839925,0.095839925
Gene_82,Gene_116,0.09355338,0.09355338
Gene_95,Gene_172,0.09324293,0.09324293
Gene_63,Gene_182,0.089057796,0.089057796
Gene_83,Gene_196,0.08868859,0.08868859
Gene_85,Gene_118,0.08748232,0.08748232
Gene_84,Gene_168,0.08737784,0.08737784
Gene_77,Gene_135,0.08728402,0.08728402
Gene_68,Gene_120,0.08369442,0.08369442
Gene_79,Gene_255,0.08290906,0.08290906
Gene_77,Gene_169,0.08259727,0.08259727
Gene_83,Gene_261,0.08242755,0.08242755
Gene_96,Gene_213,0.08131584,0.08131584
Gene_96,Gene_255,0.08079482,0.08079482
Gene_64,Gene_124,0.07838678,0.07838678
Gene_68,Gene_246,0.078226715,0.078226715
Gene_83,Gene_226,0.076469064,0.076469064
Gene_64,Gene_197,0.07566742,0.07566742
Gene_76,Gene_186,0.074549064,0.074549064
Gene_68,Gene_121,0.07420219,0.07420219
Gene_68,Gene_187,0.07396608,0.07396608
Gene_70,Gene_125,0.07386192,0.07386192
Gene_99,Gene_155,0.07365715,0.07365715
Gene_99,Gene_188,0.07364169,0.07364169
Gene_75,Gene_186,0.0720196,0.0720196
Gene_68,Gene_107,0.07128067,0.07128067
Gene_77,Gene_251,0.07006844,0.07006844
Gene_88,Gene_166,0.06923628,0.06923628
Gene_97,Gene_116,0.06879517,0.06879517
Gene_88,Gene_270,0.0677665,0.0677665
Gene_74,Gene_183,0.06742952,0.06742952
Gene_62,Gene_196,0.06721521,0.06721521
Gene_71,Gene_211,0.06675596,0.06675596
Gene_87,Gene_243,0.06667607,0.06667607
Gene_70,Gene_296,0.0666039,0.0666039
Gene_79,Gene_241,0.06624151,0.06624151
Gene_84,Gene_197,0.065951444,0.065951444
Gene_79,Gene_252,0.06587806,0.06587806
Gene_79,Gene_253,0.06553968,0.06553968
Gene_82,Gene_253,0.06526724,0.06526724
Gene_96,Gene_261,0.06523034,0.06523034
Gene_84,Gene_179,0.06504717,0.06504717
Gene_64,Gene_272,0.064888135,0.064888135
Gene_93,Gene_135,0.06459337,0.06459337
Gene_84,Gene_253,0.064070605,0.064070605
Gene_98,Gene_124,0.06375287,0.06375287
Gene_68,Gene_181,0.06337734,0.06337734
Gene_70,Gene_113,0.06322698,0.06322698
Gene_74,Gene_134,0.063041024,0.063041024
Gene_70,Gene_243,0.06229754,0.06229754
Gene_88,Gene_171,0.06177285,0.06177285
Gene_71,Gene_260,0.061335996,0.061335996
Gene_74,Gene_287,0.060678784,0.060678784
Gene_75,Gene_132,0.06036036,0.06036036
Gene_74,Gene_243,0.060137406,0.060137406
Gene_81,Gene_218,0.05973942,0.05973942
Gene_77,Gene_243,0.059442826,0.059442826
Gene_88,Gene_131,0.05942512,0.05942512
Gene_69,Gene_108,0.059407555,0.059407555
Gene_85,Gene_255,0.05911458,0.05911458
Gene_69,Gene_263,0.058787785,0.058787785
Gene_82,Gene_252,0.058773335,0.058773335
Gene_69,Gene_103,0.058588166,0.058588166
Gene_61,Gene_260,0.05798515,0.05798515
Gene_87,Gene_150,0.057788424,0.057788424
Gene_70,Gene_205,0.057656877,0.057656877
Gene_70,Gene_289,0.057275794,0.057275794
Gene_71,Gene_145,0.057113726,0.057113726
Gene_71,Gene_140,0.056910783,0.056910783
Gene_73,Gene_121,0.05675796,0.05675796
Gene_70,Gene_204,0.056339465,0.056339465
Gene_69,Gene_106,0.05630422,0.05630422
Gene_68,Gene_173,0.05628071,0.05628071
Gene_65,Gene_132,0.056280147,0.056280147
Gene_82,Gene_282,0.055840105,0.055840105
Gene_79,Gene_179,0.05568188,0.05568188
Gene_73,Gene_173,0.055188954,0.055188954
Gene_69,Gene_178,0.054986015,0.054986015
